a	pref_name
(117377,"SINGLE PROTEIN","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B",9606,"Homo sapiens",CHEMBL4105772,0)	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
(117378,"SINGLE PROTEIN","Serine/threonine-protein phosphatase 6 regulatory subunit 3",9606,"Homo sapiens",CHEMBL4105773,0)	Serine/threonine-protein phosphatase 6 regulatory subunit 3
(117379,"SINGLE PROTEIN","Serine/threonine-protein phosphatase 6 regulatory subunit 1",9606,"Homo sapiens",CHEMBL4105774,0)	Serine/threonine-protein phosphatase 6 regulatory subunit 1
(117380,"SINGLE PROTEIN","Meprin A subunit alpha",9606,"Homo sapiens",CHEMBL4105775,0)	Meprin A subunit alpha
(117381,"SINGLE PROTEIN","Superoxide dismutase [Mn], mitochondrial",9606,"Homo sapiens",CHEMBL4105776,0)	Superoxide dismutase [Mn], mitochondrial
(117382,"SINGLE PROTEIN","Galactoside 2-alpha-L-fucosyltransferase 2",9606,"Homo sapiens",CHEMBL4105777,0)	Galactoside 2-alpha-L-fucosyltransferase 2
(117383,"SINGLE PROTEIN","Dipeptidyl peptidase 3",72004,"Bos mutus",CHEMBL4105778,0)	Dipeptidyl peptidase 3
(117384,"SINGLE PROTEIN",Midasin,9606,"Homo sapiens",CHEMBL4105779,0)	Midasin
(117385,"SINGLE PROTEIN","Nucleolar GTP-binding protein 1",9606,"Homo sapiens",CHEMBL4105780,0)	Nucleolar GTP-binding protein 1
(117386,"SINGLE PROTEIN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13",9606,"Homo sapiens",CHEMBL4105781,0)	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
(117387,"SINGLE PROTEIN","ATP-dependent RNA helicase DDX42",9606,"Homo sapiens",CHEMBL4105782,0)	ATP-dependent RNA helicase DDX42
(117388,"SINGLE PROTEIN","Probable ATP-dependent RNA helicase DDX6",9606,"Homo sapiens",CHEMBL4105783,0)	Probable ATP-dependent RNA helicase DDX6
(117389,"SINGLE PROTEIN","Ras-related protein Rab-7a",9606,"Homo sapiens",CHEMBL4105784,0)	Ras-related protein Rab-7a
(117390,"SINGLE PROTEIN","Oxysterols receptor LXR-beta",10116,"Rattus norvegicus",CHEMBL4105785,0)	Oxysterols receptor LXR-beta
(117391,"SINGLE PROTEIN","B-cell lymphoma 6 protein",9606,"Homo sapiens",CHEMBL4105786,0)	B-cell lymphoma 6 protein
(117392,"SINGLE PROTEIN","Diacylglycerol kinase alpha",9606,"Homo sapiens",CHEMBL4105787,0)	Diacylglycerol kinase alpha
(117393,"SINGLE PROTEIN","Inosine triphosphate pyrophosphatase",9606,"Homo sapiens",CHEMBL4105788,0)	Inosine triphosphate pyrophosphatase
(117394,"SINGLE PROTEIN","Putative phosphatidylinositol 4-kinase alpha-like protein P2",9606,"Homo sapiens",CHEMBL4105789,0)	Putative phosphatidylinositol 4-kinase alpha-like protein P2
(117395,"SINGLE PROTEIN","Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2",9606,"Homo sapiens",CHEMBL4105790,0)	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2
(117396,"SINGLE PROTEIN","G-protein coupled receptor 52",10090,"Mus musculus",CHEMBL4105791,0)	G-protein coupled receptor 52
(117397,"SINGLE PROTEIN","Plasma kallikrein",10116,"Rattus norvegicus",CHEMBL4105792,0)	Plasma kallikrein
(117398,"SINGLE PROTEIN",Nucleoprotein,11259,"Human respiratory syncytial virus A (strain A2)",CHEMBL4105793,0)	Nucleoprotein
(117399,"SINGLE PROTEIN","Metabotropic glutamate receptor 4",10090,"Mus musculus",CHEMBL4105794,0)	Metabotropic glutamate receptor 4
(117400,"SINGLE PROTEIN","ATP-dependent RNA helicase DDX39A",9606,"Homo sapiens",CHEMBL4105795,0)	ATP-dependent RNA helicase DDX39A
(117401,"SINGLE PROTEIN","Atypical chemokine receptor 3",10090,"Mus musculus",CHEMBL4105796,0)	Atypical chemokine receptor 3
(117402,"SINGLE PROTEIN","Opioid growth factor receptor",9606,"Homo sapiens",CHEMBL4105797,0)	Opioid growth factor receptor
(117403,"SINGLE PROTEIN","UDP-N-acetylbacillosamine N-acetyltransferase",192222,"Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 /NCTC 11168)",CHEMBL4105798,0)	UDP-N-acetylbacillosamine N-acetyltransferase
(117404,"SINGLE PROTEIN","Short transient receptor potential channel 7",9606,"Homo sapiens",CHEMBL4105799,0)	Short transient receptor potential channel 7
(117405,"SINGLE PROTEIN","Guanylate cyclase soluble subunit alpha-1",10116,"Rattus norvegicus",CHEMBL4105800,0)	Guanylate cyclase soluble subunit alpha-1
(117406,"SINGLE PROTEIN","DNA repair protein complementing XP-A cells",9606,"Homo sapiens",CHEMBL4105801,0)	DNA repair protein complementing XP-A cells
(117407,"SINGLE PROTEIN","Interferon regulatory factor 3",10090,"Mus musculus",CHEMBL4105802,0)	Interferon regulatory factor 3
(117408,"SINGLE PROTEIN",Exportin-T,9606,"Homo sapiens",CHEMBL4105803,0)	Exportin-T
(117409,"SINGLE PROTEIN","Protein MON2 homolog",9606,"Homo sapiens",CHEMBL4105804,0)	Protein MON2 homolog
(117410,"SINGLE PROTEIN","Conserved oligomeric Golgi complex subunit 1",9606,"Homo sapiens",CHEMBL4105805,0)	Conserved oligomeric Golgi complex subunit 1
(117411,"SINGLE PROTEIN","Probable leucine--tRNA ligase, mitochondrial",9606,"Homo sapiens",CHEMBL4105806,0)	Probable leucine--tRNA ligase, mitochondrial
(117412,"SINGLE PROTEIN","GDP-mannose 4,6 dehydratase",9606,"Homo sapiens",CHEMBL4105807,0)	GDP-mannose 4,6 dehydratase
(117413,"SINGLE PROTEIN","STE20/SPS1-related proline-alanine-rich protein kinase",10116,"Rattus norvegicus",CHEMBL4105808,0)	STE20/SPS1-related proline-alanine-rich protein kinase
(117414,"SINGLE PROTEIN","COP9 signalosome complex subunit 5",9606,"Homo sapiens",CHEMBL4105809,0)	COP9 signalosome complex subunit 5
(117415,"SINGLE PROTEIN","Dedicator of cytokinesis protein 2",9606,"Homo sapiens",CHEMBL4105810,0)	Dedicator of cytokinesis protein 2
(117416,"SINGLE PROTEIN","Meso-diaminopimelate D-dehydrogenase",242619,"Porphyromonas gingivalis (strain ATCC BAA-308 / W83)",CHEMBL4105811,0)	Meso-diaminopimelate D-dehydrogenase
(117417,"SINGLE PROTEIN","Protein kinase 6",36329,"Plasmodium falciparum (isolate 3D7)",CHEMBL4105812,0)	Protein kinase 6
(117418,"SINGLE PROTEIN","TCP pilus virulence regulatory protein",345073,"Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 /O395)",CHEMBL4105813,0)	TCP pilus virulence regulatory protein
(117419,"SINGLE PROTEIN","ATP-dependent RNA helicase DHX30",9606,"Homo sapiens",CHEMBL4105814,0)	ATP-dependent RNA helicase DHX30
(117420,"SINGLE PROTEIN","Glycine--tRNA ligase",9606,"Homo sapiens",CHEMBL4105815,0)	Glycine--tRNA ligase
(117421,"SINGLE PROTEIN","Acyl-CoA dehydrogenase family member 10",9606,"Homo sapiens",CHEMBL4105816,0)	Acyl-CoA dehydrogenase family member 10
(117422,"SINGLE PROTEIN","Peroxisomal acyl-coenzyme A oxidase 3",9606,"Homo sapiens",CHEMBL4105817,0)	Peroxisomal acyl-coenzyme A oxidase 3
(117423,"SINGLE PROTEIN","Long-chain-fatty-acid--CoA ligase 5",9606,"Homo sapiens",CHEMBL4105818,0)	Long-chain-fatty-acid--CoA ligase 5
(117424,"SINGLE PROTEIN","Adenine phosphoribosyltransferase",9606,"Homo sapiens",CHEMBL4105819,0)	Adenine phosphoribosyltransferase
(117425,"SINGLE PROTEIN","Thyroid hormone receptor-associated protein 3",9606,"Homo sapiens",CHEMBL4105820,0)	Thyroid hormone receptor-associated protein 3
(117426,"SINGLE PROTEIN","Isoleucine--tRNA ligase, mitochondrial",9606,"Homo sapiens",CHEMBL4105821,0)	Isoleucine--tRNA ligase, mitochondrial
(117427,"SINGLE PROTEIN","Glycogen phosphorylase, muscle form",10116,"Rattus norvegicus",CHEMBL4105822,0)	Glycogen phosphorylase, muscle form
(117428,"SINGLE PROTEIN","Putative acetyl-hydrolase LipR",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL4105823,0)	Putative acetyl-hydrolase LipR
(117429,"SINGLE PROTEIN","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",9606,"Homo sapiens",CHEMBL4105824,0)	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
(117430,"SINGLE PROTEIN","Cys-loop ligand-gated ion channel",556,"Dickeya chrysanthemi",CHEMBL4105825,0)	Cys-loop ligand-gated ion channel
(117431,"SINGLE PROTEIN","Serine/threonine-protein kinase greatwall",9606,"Homo sapiens",CHEMBL4105826,0)	Serine/threonine-protein kinase greatwall
(117432,"SINGLE PROTEIN","Nucleotide triphosphate diphosphatase NUDT15",9606,"Homo sapiens",CHEMBL4105827,0)	Nucleotide triphosphate diphosphatase NUDT15
(117433,"SINGLE PROTEIN","Tudor domain-containing protein 7",9606,"Homo sapiens",CHEMBL4105828,0)	Tudor domain-containing protein 7
(117434,"SINGLE PROTEIN","Envelope glycoprotein",128952,"Zaire ebolavirus (strain Mayinga-76) (ZEBOV) (Zaire Ebola virus)",CHEMBL4105829,0)	Envelope glycoprotein
(117435,"SINGLE PROTEIN","C-X-C chemokine receptor type 2",10090,"Mus musculus",CHEMBL4105830,0)	C-X-C chemokine receptor type 2
(117436,"SINGLE PROTEIN","Lysyl oxidase homolog 2",10090,"Mus musculus",CHEMBL4105831,0)	Lysyl oxidase homolog 2
(117437,"SINGLE PROTEIN","Eukaryotic initiation factor 4A-III",9606,"Homo sapiens",CHEMBL4105832,0)	Eukaryotic initiation factor 4A-III
(117438,"SINGLE PROTEIN","Signal peptide peptidase-like 2A",9606,"Homo sapiens",CHEMBL4105833,0)	Signal peptide peptidase-like 2A
(117439,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 C",9606,"Homo sapiens",CHEMBL4105834,0)	Ubiquitin-conjugating enzyme E2 C
(117440,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 K",9606,"Homo sapiens",CHEMBL4105835,0)	Ubiquitin-conjugating enzyme E2 K
(117441,"SINGLE PROTEIN","Parathyroid hormone 2 receptor",9606,"Homo sapiens",CHEMBL4105836,0)	Parathyroid hormone 2 receptor
(117442,"SINGLE PROTEIN","Histone-lysine N-methyltransferase SETD1B",9606,"Homo sapiens",CHEMBL4105837,0)	Histone-lysine N-methyltransferase SETD1B
(117443,"SINGLE PROTEIN","DCN1-like protein 1",9606,"Homo sapiens",CHEMBL4105838,0)	DCN1-like protein 1
(117444,"SINGLE PROTEIN","Sialidase A",1313,"Streptococcus pneumoniae",CHEMBL4105839,0)	Sialidase A
(117445,"SINGLE PROTEIN","Kynurenine 3-monooxygenase",294,"Pseudomonas fluorescens",CHEMBL4105840,0)	Kynurenine 3-monooxygenase
(117446,"SINGLE PROTEIN","Gem-associated protein 7",9606,"Homo sapiens",CHEMBL4105841,0)	Gem-associated protein 7
(117447,"SINGLE PROTEIN","Conserved oligomeric Golgi complex subunit 3",9606,"Homo sapiens",CHEMBL4105842,0)	Conserved oligomeric Golgi complex subunit 3
(118544,CELL-LINE,MHCC97H,9606,"Homo sapiens",CHEMBL4296470,0)	MHCC97H
(117448,"SINGLE PROTEIN","Conserved oligomeric Golgi complex subunit 7",9606,"Homo sapiens",CHEMBL4105843,0)	Conserved oligomeric Golgi complex subunit 7
(117449,"SINGLE PROTEIN","Leucine--tRNA ligase",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL4105844,0)	Leucine--tRNA ligase
(117450,"SINGLE PROTEIN",Chitotriosidase-1,10090,"Mus musculus",CHEMBL4105845,0)	Chitotriosidase-1
(117451,"SINGLE PROTEIN","Catenin beta-1",10090,"Mus musculus",CHEMBL4105846,0)	Catenin beta-1
(117452,"SINGLE PROTEIN","Adrenoceptor beta 3",9483,"Callithrix jacchus",CHEMBL4105847,0)	Adrenoceptor beta 3
(117453,"SINGLE PROTEIN","STAM-binding protein",9606,"Homo sapiens",CHEMBL4105848,0)	STAM-binding protein
(117454,"SINGLE PROTEIN","ERO1-like protein alpha",10090,"Mus musculus",CHEMBL4105849,0)	ERO1-like protein alpha
(117455,"SINGLE PROTEIN",Glutathione-S-transferase,6182,"Schistosoma japonicum",CHEMBL4105850,0)	Glutathione-S-transferase
(117456,"SINGLE PROTEIN","dTDP-4-dehydrorhamnose 3,5-epimerase",83331,"Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)",CHEMBL4105851,0)	dTDP-4-dehydrorhamnose 3,5-epimerase
(117457,"SINGLE PROTEIN","Eukaryotic translation initiation factor 5B",9606,"Homo sapiens",CHEMBL4105852,0)	Eukaryotic translation initiation factor 5B
(117458,"SINGLE PROTEIN","Rab-like protein 3",9606,"Homo sapiens",CHEMBL4105853,0)	Rab-like protein 3
(117459,"SINGLE PROTEIN","ADP/ATP translocase 3",9606,"Homo sapiens",CHEMBL4105854,0)	ADP/ATP translocase 3
(117460,"SINGLE PROTEIN","Choline-phosphate cytidylyltransferase A",9606,"Homo sapiens",CHEMBL4105855,0)	Choline-phosphate cytidylyltransferase A
(117461,"SINGLE PROTEIN","Phosphatidylethanolamine-binding protein 1",9606,"Homo sapiens",CHEMBL4105856,0)	Phosphatidylethanolamine-binding protein 1
(117462,"SINGLE PROTEIN","Actin-related protein 3",9606,"Homo sapiens",CHEMBL4105857,0)	Actin-related protein 3
(117463,"SINGLE PROTEIN","Putative heat shock protein HSP 90-beta 2",9606,"Homo sapiens",CHEMBL4105858,0)	Putative heat shock protein HSP 90-beta 2
(117464,"SINGLE PROTEIN","Ephrin type-A receptor 2",10090,"Mus musculus",CHEMBL4105859,0)	Ephrin type-A receptor 2
(117465,"SINGLE PROTEIN","Sialic acid-binding Ig-like lectin 9",9606,"Homo sapiens",CHEMBL4105860,0)	Sialic acid-binding Ig-like lectin 9
(117466,"SINGLE PROTEIN","NADPH--cytochrome P450 reductase",10090,"Mus musculus",CHEMBL4105861,0)	NADPH--cytochrome P450 reductase
(117467,"SINGLE PROTEIN","Eukaryotic translation initiation factor 5A-1",9606,"Homo sapiens",CHEMBL4105862,0)	Eukaryotic translation initiation factor 5A-1
(117468,"SINGLE PROTEIN","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]",9606,"Homo sapiens",CHEMBL4105863,0)	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
(117469,"SINGLE PROTEIN","Sigma intracellular receptor 2",10116,"Rattus norvegicus",CHEMBL4105864,0)	Sigma intracellular receptor 2
(117470,"SINGLE PROTEIN","4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)",367830,"Staphylococcus aureus (strain USA300)",CHEMBL4105865,0)	4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)
(117471,"SINGLE PROTEIN","DEP domain-containing mTOR-interacting protein",9606,"Homo sapiens",CHEMBL4105866,0)	DEP domain-containing mTOR-interacting protein
(117472,"SINGLE PROTEIN","Bifunctional coenzyme A synthase",9606,"Homo sapiens",CHEMBL4105867,0)	Bifunctional coenzyme A synthase
(117473,"SINGLE PROTEIN","Extracellular calcium-sensing receptor",10090,"Mus musculus",CHEMBL4105868,0)	Extracellular calcium-sensing receptor
(117474,"SINGLE PROTEIN","HLA-DRB2 protein",9606,"Homo sapiens",CHEMBL4105869,0)	HLA-DRB2 protein
(117475,"SINGLE PROTEIN","Vitamin K epoxide reductase complex subunit 1",10116,"Rattus norvegicus",CHEMBL4105870,0)	Vitamin K epoxide reductase complex subunit 1
(117476,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 L3",9606,"Homo sapiens",CHEMBL4105871,0)	Ubiquitin-conjugating enzyme E2 L3
(117477,"SINGLE PROTEIN","Homeobox protein Nkx-2.5",10090,"Mus musculus",CHEMBL4105872,0)	Homeobox protein Nkx-2.5
(117478,"SINGLE PROTEIN",Trehalose-phosphatase,6279,"Brugia malayi",CHEMBL4105873,0)	Trehalose-phosphatase
(117479,"SINGLE PROTEIN",Anoctamin-1,10090,"Mus musculus",CHEMBL4105874,0)	Anoctamin-1
(117480,"SINGLE PROTEIN","Cyclin-dependent kinase 9",10090,"Mus musculus",CHEMBL4105875,0)	Cyclin-dependent kinase 9
(117481,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 E1",9606,"Homo sapiens",CHEMBL4105876,0)	Ubiquitin-conjugating enzyme E2 E1
(117482,"SINGLE PROTEIN","MICOS complex subunit MIC19",9606,"Homo sapiens",CHEMBL4105877,0)	MICOS complex subunit MIC19
(117483,"SINGLE PROTEIN","CCR4-NOT transcription complex subunit 10",9606,"Homo sapiens",CHEMBL4105878,0)	CCR4-NOT transcription complex subunit 10
(117484,"SINGLE PROTEIN","Meprin A subunit beta",9606,"Homo sapiens",CHEMBL4105879,0)	Meprin A subunit beta
(117485,"SINGLE PROTEIN","Conserved oligomeric Golgi complex subunit 8",9606,"Homo sapiens",CHEMBL4105880,0)	Conserved oligomeric Golgi complex subunit 8
(117486,"SINGLE PROTEIN","4-hydroxyphenylpyruvate dioxygenase",4039,"Daucus carota",CHEMBL4105881,0)	4-hydroxyphenylpyruvate dioxygenase
(117487,"SINGLE PROTEIN","TATA box-binding protein-associated factor RNA polymerase I subunit A",9606,"Homo sapiens",CHEMBL4105882,0)	TATA box-binding protein-associated factor RNA polymerase I subunit A
(117488,"SINGLE PROTEIN","Adenosine kinase",83331,"Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)",CHEMBL4105883,0)	Adenosine kinase
(117489,"SINGLE PROTEIN","HLA class II histocompatibility antigen, DQ alpha 1 chain",9606,"Homo sapiens",CHEMBL4105884,0)	HLA class II histocompatibility antigen, DQ alpha 1 chain
(117490,"SINGLE PROTEIN","Uncharacterized aarF domain-containing protein kinase 1",9606,"Homo sapiens",CHEMBL4105885,0)	Uncharacterized aarF domain-containing protein kinase 1
(117491,"SINGLE PROTEIN","Uncharacterized aarF domain-containing protein kinase 5",9606,"Homo sapiens",CHEMBL4105886,0)	Uncharacterized aarF domain-containing protein kinase 5
(117492,"SINGLE PROTEIN","Guanine nucleotide-binding protein G(i) subunit alpha-2",9606,"Homo sapiens",CHEMBL4105887,0)	Guanine nucleotide-binding protein G(i) subunit alpha-2
(117493,"SINGLE PROTEIN",Myosin-14,9606,"Homo sapiens",CHEMBL4105888,0)	Myosin-14
(117494,"SINGLE PROTEIN","Exosome RNA helicase MTR4",9606,"Homo sapiens",CHEMBL4105889,0)	Exosome RNA helicase MTR4
(117495,"SINGLE PROTEIN","Structural maintenance of chromosomes protein 2",9606,"Homo sapiens",CHEMBL4105890,0)	Structural maintenance of chromosomes protein 2
(117496,"SINGLE PROTEIN",Septin-9,9606,"Homo sapiens",CHEMBL4105891,0)	Septin-9
(117497,"SINGLE PROTEIN","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",9606,"Homo sapiens",CHEMBL4105892,0)	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
(117498,"SINGLE PROTEIN","Ras-related protein Rab-2A",9606,"Homo sapiens",CHEMBL4105893,0)	Ras-related protein Rab-2A
(117499,"SINGLE PROTEIN","Myc proto-oncogene protein",10116,"Rattus norvegicus",CHEMBL4105894,0)	Myc proto-oncogene protein
(117500,"SINGLE PROTEIN",Cyclin-O,9606,"Homo sapiens",CHEMBL4105895,0)	Cyclin-O
(117501,"SINGLE PROTEIN","Serine/threonine-protein kinase receptor R3",10090,"Mus musculus",CHEMBL4105896,0)	Serine/threonine-protein kinase receptor R3
(117502,"SINGLE PROTEIN","Opioid receptor homologue",7955,"Danio rerio",CHEMBL4105897,0)	Opioid receptor homologue
(117503,"SINGLE PROTEIN","C-type lectin domain family 4 member E",9606,"Homo sapiens",CHEMBL4105898,0)	C-type lectin domain family 4 member E
(117504,"SINGLE PROTEIN","14-3-3 protein zeta/delta",9606,"Homo sapiens",CHEMBL4105899,0)	14-3-3 protein zeta/delta
(117505,"SINGLE PROTEIN","Glutaminyl-peptide cyclotransferase",10090,"Mus musculus",CHEMBL4105900,0)	Glutaminyl-peptide cyclotransferase
(117506,"SINGLE PROTEIN","Platelet-activating factor acetylhydrolase",10116,"Rattus norvegicus",CHEMBL4105901,0)	Platelet-activating factor acetylhydrolase
(117507,"SINGLE PROTEIN",Trans-sialidase,5693,"Trypanosoma cruzi",CHEMBL4105902,0)	Trans-sialidase
(117508,"SINGLE PROTEIN","DNA cross-link repair 1A protein",9606,"Homo sapiens",CHEMBL4105903,0)	DNA cross-link repair 1A protein
(117509,"SINGLE PROTEIN",Galectin-1,10090,"Mus musculus",CHEMBL4105904,0)	Galectin-1
(117510,"SINGLE PROTEIN","4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)",158878,"Staphylococcus aureus (strain Mu50 / ATCC 700699)",CHEMBL4105905,0)	4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)
(117511,"SINGLE PROTEIN","Potassium voltage-gated channel subfamily A member 6",10116,"Rattus norvegicus",CHEMBL4105906,0)	Potassium voltage-gated channel subfamily A member 6
(117512,"SINGLE PROTEIN","Sigma intracellular receptor 2",9606,"Homo sapiens",CHEMBL4105907,0)	Sigma intracellular receptor 2
(117513,"SINGLE PROTEIN","Lysyl oxidase homolog 2",10116,"Rattus norvegicus",CHEMBL4105908,0)	Lysyl oxidase homolog 2
(117514,"SINGLE PROTEIN","ATP-dependent RNA helicase DHX29",9606,"Homo sapiens",CHEMBL4105909,0)	ATP-dependent RNA helicase DHX29
(117515,"SINGLE PROTEIN","Prostaglandin E receptor 4",9615,"Canis lupus familiaris",CHEMBL4105910,0)	Prostaglandin E receptor 4
(117516,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 D3",9606,"Homo sapiens",CHEMBL4105911,0)	Ubiquitin-conjugating enzyme E2 D3
(117517,"SINGLE PROTEIN","Signal peptide peptidase-like 2B",9606,"Homo sapiens",CHEMBL4105912,0)	Signal peptide peptidase-like 2B
(117518,"SINGLE PROTEIN","Signal peptide peptidase-like 2A",10116,"Rattus norvegicus",CHEMBL4105913,0)	Signal peptide peptidase-like 2A
(117519,"SINGLE PROTEIN","Toll-like receptor 7",10116,"Rattus norvegicus",CHEMBL4105914,0)	Toll-like receptor 7
(117520,"SINGLE PROTEIN",SHMT,5833,"Plasmodium falciparum",CHEMBL4105915,0)	SHMT
(117521,"SINGLE PROTEIN","Short transient receptor potential channel 3",10116,"Rattus norvegicus",CHEMBL4105916,0)	Short transient receptor potential channel 3
(117522,"SINGLE PROTEIN","Bile acid receptor",10116,"Rattus norvegicus",CHEMBL4105917,0)	Bile acid receptor
(117523,"SINGLE PROTEIN","Proto-oncogene c-Fos",10090,"Mus musculus",CHEMBL4105918,0)	Proto-oncogene c-Fos
(117524,"SINGLE PROTEIN","CCR4-NOT transcription complex subunit 1",9606,"Homo sapiens",CHEMBL4105919,0)	CCR4-NOT transcription complex subunit 1
(117525,"SINGLE PROTEIN","CCR4-NOT transcription complex subunit 2",9606,"Homo sapiens",CHEMBL4105920,0)	CCR4-NOT transcription complex subunit 2
